"Spalte1","klimatische(r) Stressor(en)","Anpassungsmaßnahme","Branche(n)","Unternehmensbereich / Handlungsfeld","Unternehmen","Land","Naturraum","Beschreibung","Textstelle(n)","Spalte2","Spalte3","Spalte4","Spalte5","Spalte6","Spalte7","Spalte8","Spalte9","Spalte10"
,"allg. Temperaturanstieg; Hitze; Dürre","Waldumbau III - Einführung neuer Arten, die an erwartetes Klima angepasst sind und gute Erträge liefern","Forst- und Holzwirtschaft","Rohstoffe & Beschaffung; Innovationen im Geschäftsmodell","Holzbearbeitung Heinzelmann","Deutschland","Tieflagen; mittlere Lagen; Hochlagen","z. B. Douglasie","HH: Dann klar, guckt man wie wird aufgeforstet, sicherviel mit Laubholz,(...), dann wird Douglasie aufgeforstet, das ist momentan so ein Trend Thema, (...) da kann ich mich auch  dran  erinnern,  dass  haben  Sie  glaube  ich  auch  gesagt,  dass  manche  die  Aussage treffen,  die  sägen  dann verstärkt  Douglasie  oder jetzt  schon  verstärkt  Douglasie (...), wir sägen schon seit 5 oder 6 Jahren verstärkt Douglasie, (...) unsere Baumart, von der wir am meisten  produzieren,  das  hat  aber  nichts  mit  dem  Klimawandel  zu  tun,  also (...) das ist einfach  nur  eine  Reaktion  auf  den  Markt,  also  das  ist  einfach  von  Schnittholz  Markt  her nachgefragt.",,,,,,,,,
,"allg. Temperaturanstieg","Umstieg auf erneuerbare Energien bei unternehmensinternen Prozessen","Forst- und Holzwirtschaft; Landwirtschaft","Energie",,,,"z. B. Biomasse-Verbrennung zur Holztrockung im Sägewerk, Biogasanlagen mit Vergärung von Wirtschaftsdüngern (Festmist, Gülle), Pelletheizungen, etc.",,,,,,,,,,
,"allg. Temperaturanstieg","professionelle Energieberatung","Landwirtschaft","Energie",,,,"zur Reduzierung des Energieverbrauchs, Erkennen von Einsparpotentialen und Identifizieren von Maßnahmen; z. B. KEFF-Check","online-Umfrage",,,,,,,,,
,"allg. Temperaturanstieg","Wechsel des Energieanbieters auf Ökostrombezug","Verarbeitendes Gewerbe; Nahrungsmittelindustrie; Wasserversorgung","Energie",,,,"zur Förderung der Erneuerbaren Energien und Reduktion des Treibhauseffekts","online-Umfrage",,,,,,,,,
,"allg. Temperaturanstieg","Schutz und Erhalt von Biodiversität ","Energieversorgung; Landwirtschaft","Rohstoffe & Beschaffung","IWB","Schweiz","Tieflagen; mittlere Lagen; Hochlagen","wichtig für viele Ökosystemleistungen, von denen naturnahe Branchen Nutzen ziehen, z. B. Versorgung mit Frischwasser, Erholungsfunktion von Wäldern, Nahrungsmittelproduktion, etc.; durch den Klimawandel werden diese Funktionen bedroht; konkrete Maßnahmen sind z. B. Verzicht auf oder reduzierter Einsatz von Pflanzenschutzmitteln, Glyphosat, Anlage von Blühstreifen und Hecken, Grünlanderhalt, etc.","IWB: Sonst versuchen wir mit einem Konzept für den Schutz von Biodiversität einerseits auf unseren Grundstücken und Standorten und andererseits in den Gebieten, wo wir Einfluss haben oder wo wir beteiligt sind, uns für den Erhalt von Biodiversität einzusetzen –auch hinsichtlich der klimatischen Veränderungen","Zeller 2021, S. 63",,,,,,,,
,"allg. Temperaturanstieg","Dezentralisierung der Lagerung in Mikrodepots für die letzte Meile in Innenstädten mit Fahrverbot","Logistik","sonstige technische Maßnahmen; Management & Arbeitsorganisation",,,,,"Kolhof et al. 2018; S. 31",,,,,,,,,
,"allg. Temperaturanstieg","Einsatz von emissionsarmen oder E-Fahrzeugen und Lastenrädern","Logistik; Nahrungsmittelindustrie; Landwirtschaft; Bausektor","Energie",,,,"Logistik: v.a. in Städten mit Umweltzone wichtig; Landwirtschaft: z. B. solarbetriebene Traktoren - auch Hybrid-Fahrzeuge, alternative Kraftstoffe, etc. ","Kolhof et al. 2018; S. 31","Dörr 2021, S. 46","Zeller 2021, S. 67","online-Umfrage",,,,,,
,"allg. Temperaturanstieg","Ausbau der Güterbahntrassen zur Steigerung des Bahnanteils am Modal Split des Güterverkehrs","Logistik","bauliche Maßnahmen; Management & Arbeitsorganisation","SNCF","Frankreich","Tieflagen; mittlere Lagen; Hochlagen","zur Reduzierung der CO2-Emissionen im Verkehr, z. B. neue Güterstrecken, Umfahrungen großer Städte, Entmischung mit Strecken für Personenverkehr","SNCF: Pour répondre à votre question sur la stratégie d’avenir de la SNCF, la SNCF est en train de mettre en place des autoroutes ferroviaires pour le transport fret, qui consiste à contourner les grandes villes, comme probablement Strasbourg.",,,,,,,,,
,"allg. Temperaturanstieg","Förderung der Kommunikation über Klimafreundlichkeit der Bahn ","Logistik","Image & PR","SNCF","Frankreich","Tieflagen; mittlere Lagen; Hochlagen","um mehr Menschen und Unternehmen zum Umstieg auf die Bahn zu bewegen","SNCF:  on communique énormément sur les économies qu'on peut faire en émissions de carbone. Je pense qu'on va avoir des répercussions très importantes dans les dix ans qui viennent, j'entends parler d’horizon 2030, c'est dans dix ans, il semblerait que la fréquentation des voyageurs augmentera de 30%, ce qui est assez important, donc les sillons vont augmenter également. On va avoir beaucoup plus de trains de voyageurs qui vont circuler, mais la demande va également se faire sur le transport de marchandises, on peut donc imaginer le trafic qu’il va y avoir dans une dizaine d'années",,,,,,,,,
,"allg. Temperaturanstieg","Ausbau der Kapazitäten zur Personenbeförderung auf stark frequentierten Bahnsteigen zur Bewältigung des Passagierwachstums","Logistik","sonstige technische Maßnahmen; bauliche Maßnahmen","SNCF","Frankreich","Tieflagen; mittlere Lagen; Hochlagen","z. B. automatische Türen an Bahnsteigen","SNCF: C'est pour ça qu'ils anticipent au niveau du plan stratégique de développement du “mass transit“, pour les voyageurs. Je ne sais pas si cela vous arrive de passer aux heures de pointe en région parisienne, c'est affolant, il y a une foule sur les quais, c'est impressionnant, c'est ce qu'on appelle le “mass transit“. Donc il s'agit de faire monter des voyageurs de façon fluide dans les trains, ils sont en train de mettre des systèmes en place comme au Japon, de portes automatiques qui ferment les quais à l'arrivée du train, et qui s’ouvrent une fois que le train est arrêté. Et ensuite, on fait comme au Japon on pousse tout le monde dans les trains, et voilà ! C’est en train de se développer, notamment dans les gares parisiennes, mais on peut imaginer que ça va venir très vite dans les gares A",,,,,,,,,
,"allg. Temperaturanstieg","Verstärkter Einsatz ökologisch zertifizierter Rohstoffe und Baumaterialien","Wasserversorgung","Rohstoffe & Beschaffung",,,,"z. B. nachhaltige Dämmmaterialien","online-Umfrage",,,,,,,,,
,"allg. Temperaturanstieg","Anpassung der Zeitplanung naturnaher Prozesse an geänderte Jahreszeiten (z. B. Saat, Ernte)","Forst- und Holzwirtschaft; Landwirtschaft","Management & Arbeitsorganisation; Rohstoffe & Beschaffung",,,,"z. B. frühere Aussaat","Zeller 2021",,,,,,,,,
,"allg. Temperaturanstieg","Förderung regionaler Märkte und des Absatzes klimaresilienter Holzarten","Forst- und Holzwirtschaft","Innovationen im Geschäftsmodell; Image & PR","Holzbearbeitung Heinzelmann","Deutschland","Tieflagen; mittlere Lagen; Hochlagen","z. B. Imagekampagne zur Verwendung von Douglasien oder Laubholz, auch Schad- und Käferholz","HH: wir sägen schon seit 5 oder 6 Jahren verstärkt Douglasie, (...) unsere Baumart, von der wir am meisten  produzieren,  das  hat  aber  nichts  mit  dem  Klimawandel  zu  tun,  also (...) das ist einfach  nur  eine  Reaktion  auf  den  Markt,  also  das  ist  einfach  von  Schnittholz  Markt  her nachgefragt. Ich weiß, das liegt grade im Trend. Das wird oft in optischen Kreisen benutzt. Die  Douglasie  ist  von  Natur  aus  witterungsbeständig,  anders  wie  bei  der  Fichteund  die Relation zwischen Rundholzeinkauf und Schnittholzverkauf ist da einfachwesentlichbesser wie  bei  der  Fichte,  weils  auch weniger  davon  gibt.  Aber  wenn  da  einer  sagt,  der  sägt Douglasie,um dem Klimawandel entgegen zu wirken, dass halt ich mal für weit hergeholt. Das würd ich gerne von uns selber auch behaupten, aber das ist halt einfach so, von den Märkten  her.  Aber  ich  glaub  schon,  dass  in  Zukunft  mehr  Douglasie  angebaut  und  auch gesägt wird,aber man muss ja auch das sägen, was im Wald wächst, wenn keine Fichte mehr wächst, muss man halt was Anderessägen. Jeder will auf einem Stuhl sitzen, jeder(...)",,,,,,,,,
,"allg. Temperaturanstieg","Förderung technischer Innovationen zur stärkeren Verwendung von klimaresilienten Laubholzarten im Holzbau","Forst- und Holzwirtschaft","Innovationen im Geschäftsmodell; sonstige technische Maßnahmen","Sägewerk 1","Deutschland","mittlere Lagen","z. B. Sägewerke: technische Anpassung von Fichten-Sägen an veränderten Holzaufbau von Laubholz; Umstellung der Produktionsanlagen","Scheffel & Binder 2021","Säge 1: Ja das ändert sich ständig. Also das war so, dass die Versuchsanstaltin Freiburg die erste Douglasie  geerntet  hat,  das  war  65,  68  so  was.  Und  da  sind  die  auf  uns  zugekommen  und haben die Versuche gestartet, wie sich das sägen lässt und so. Und haben wir das eigentlich immer  im  Programm  gehabt  und  hat  sich  die  letzten  Jahre,  dass  es  jetzt  die  letzten Jahreeigentlich der Hauptbaum ist. Also zu 80% sägen wirDouglasie. Was damit zusammenhängt, dass die Fichte, also das typische Bauholz so nicht mehr gibt",,,,,,,,
,"allg. Temperaturanstieg; Starkregen; Dürre","Förderung bodenschonender Methoden in Land- und Forstwirtschaft & Limitierung des Einsatzes schwerer Maschinen","Forst- und Holzwirtschaft; Landwirtschaft","sonstige technische Maßnahmen; Rohstoffe & Beschaffung",,,,"z. B. Seilzüge und Beifäller einsetzen bei Holzernte; Holztransport nur auf vorgesehenen Rückegassen; leichte Traktoren verwenden; weniger pflügen","Schäffel & Binder 2021, Daniel Kraus","Zeller 2021, S. 63",,,,,,,,
,"allg. Temperaturanstieg; Dürre; Hitze; Sturm","rasche Entnahme von Schadholz und vom Borkenkäfer befallenen Bäumen aus dem Wald","Forst- und Holzwirtschaft","sonstige technische Maßnahmen; Rohstoffe & Beschaffung","Holzbearbeitung Heinzelmann","Deutschland","mittlere Lagen","zur Vermeidung der Vermehrung des Borkenkäfers; auch großflächige Hiebe wenn nötig","HH: Das gibt’s hier nicht, wenn ich hier in den Wald gucke, da ist alles grün,  da  sieht  man  dann  vereinzelt  diese  braunen  Bäume,  die  werden  dann  aber  sehr schnell aus dem Wald rausgenommen, damit sie diese Insekten nicht weiterverbreiten, aber im Südschwarzwald muss es anders sein und inMitteldeutschland sowieso, ja.",,,,,,,,,
,"allg. Temperaturanstieg; Dürre; Hitze; Sturm","Anschaffung neuer Maschinen zur Bewältigung des gestiegenen Holzernteaufwands (Schad- und Käferholz)","Forst- und Holzwirtschaft","sonstige technische Maßnahmen","Forstbetrieb 2","Deutschland",,"möglichst emissionarme Maschinen","Forst 2: Ich mein klar, die  Katastrophen  werden,  ich nehmean,  die  werden  zunehmen.  Es  wird  mehr Sturmgeben oder Trockenschäden oder so im Wald. Ob wir da drauf reagieren sollten als Forstunternehmer weiß  ich  nicht.  Ich  meine  einige  haben  sich  da  vergrößert  dieses  Jahr  und  in  Maschinen investiert. ",,,,,,,,,
,"allg. Temperaturanstieg; Dürre; Hitze; Sturm","Ausbau der Lagerkapazitäten","Forst- und Holzwirtschaft; Logistik; Landwirtschaft","sonstige technische Maßnahmen; Rohstoffe & Beschaffung","Holzbearbeitung Heinzelmann; Sägewerk 1; DREAL Grand Est","Deutschland; Frankreich","Tieflagen; mittlere Lagen","Forstwirtschaft: mehr Käfer-, Sturm- und Schadholz --> Holz muss recht schnell aus Wald entnommen werden wg. Möglicher Schäden und Borkenkäfergefahr; Logistik (und andere Branchen): als Vorrat bei der Unterbrechung von Lieferketten","Heinzelmann: Da  die  Klimakrise  uns  im  täglichen Geschäft   berührt,   kurzfristig,   mittelfristig,   langfristig,   das (...)  erfordert  unsere  volle Aufmerksamkeit  und  auch  Anpassungen  in  der  Art  wie  wir  arbeiten,  (äh)  erfordert Investitionen, (ähm) wir müssen Prozesse anpassen, (...) Lagermöglichkeiten schaffen für das Rundholz. [...] Also Anpassungsbedarf, das hab ich jetzt vorhin auch schon mal angesprochen, müssen wir   halt   unser   Rundholzmanagement   etwas   verbessern, wir   brauchenzusätzliche Lagermöglichkeiten  sonst,","Säge 1: Was auch ist, dass man vielleicht mehr Holz aufs Lager setzen muss, falls es immer mal Lücken gibt,  wo  kein  Holz  gebracht  wird.","DREAL (E. Braun): On doit aussi se poser la question des chaînes logistiques qui fonctionnent de plus en plus à flux tendu. Toute rupture de ce flux a alors des conséquences immédiates à l’aval de la chaîne de production. Amon sens, il y a une réflexion à mener sur les espaces de stockage des entreprises pour leur permettre de tenir en cas de difficulté quand un problème survient dans la chaîne.","Zeller 2021, S. 63",,,,,,
,"allg. Temperaturanstieg; Starkregen; Dürre","Förderung des Biolandbaus","Landwirtschaft","Innovationen im Geschäftsmodell",,,,"v.a. zum Bodenschutz und zur Erhöhung der Resilienz gegenüber Schädlingen und Krankheiten","Zeller 2021",,,,,,,,,
,"allg. Temperaturanstieg","Standortwechsel: Ausweichen auf andere, geeignetere Anbauflächen","Landwirtschaft; Forst- und Holzwirtschaft","Innovationen im Geschäftsmodell; Management & Arbeitsorganisation",,,,"v.a. in Milchwirtschaft, Grünland, Nutzholzanbau","Raab 2020, S. 48","online-Umfrage",,,,,,,,
,"allg. Temperaturanstieg","Systematische Überwachung und Vorsorge in Bezug auf Schädlinge und Krankheitserreger","Landwirtschaft","Management & Arbeitsorganisation; sonstige technische Maßnahmen",,,,"als Reaktion auf die erwartete Zunahme von Schädlingen und neuen Erregern","Zeller 2021, S. 67",,,,,,,,,
,"allg. Temperaturanstieg","Reduzierung der Stickstoff-Emissionen in der Landwirtschaft, v.a. bei der Düngung","Landwirtschaft","sonstige technische Maßnahmen; Rohstoffe & Beschaffung",,,,"Verbesserung der Stickstoff-Effizienz, z. B. durch bodennahe Dünger-Ausbringung (in Baden-Württemberg verpflichtend seit 2020 für Betriebe > 15ha), Zwischenfrüchte wie Grünroggen oder Winterraps (Stickstoffaufnahme im Winter), oder pfluglose Bodenbearbeitung","Zeller 2021","https://www.isip.de/isip/servlet/isip-de/regionales/baden-wuerttemberg/ackerbau/duengung/duengung---ausnahmeregelung-zur-bodennahen-guelleduengung-307154",,,,,,,,
,"allg. Temperaturanstieg; Dürre; Starkregen","Kohlenstoff-Fixierung in Böden durch Humuserhalt und -aufbau","Landwirtschaft","sonstige technische Maßnahmen; Rohstoffe & Beschaffung",,,,"z. B. durch intelligente Fruchtfolgen, Ausbringen organischer Stoffe, bodenschonende Methoden, etc.","Zeller 2021",,,,,,,,,
,"allg. Temperaturanstieg; Dürre; Starkregen","Förderung der Flächenbindung in der Tierhaltung","Landwirtschaft","Innovation im Geschäftsmodell; Wasser",,,,"max. Viehbesatz pro Fläche festlegen, um Nitratausbringung zu verringern --> weniger Eintrag in Grundwasser und Atmosphäre","Zeller 2021, S. 67","https://www.landwirtschaft.de/diskussion-und-dialog/umwelt/nitrat-im-grundwasser-was-hat-die-landwirtschaft-damit-zu-tun",,,,,,,,
,"allg. Temperaturanstieg; Dürre; Starkregen; Hitze","Förderung von Agroforst-Methoden","Landwirtschaft","Innovation im Geschäftsmodell; Rohstoffe & Beschaffung",,,,"wg. Erhöhung der Biodiversität, des Bodenschutzes, des Schattenwurfs, Reduzierung der Marktabhängigkeit bei Monokultur, etc.","Zeller 2021, S. 67","https://agroforst-info.de/chancen/",,,,,,,,
,"allg. Temperaturanstieg","verstärktes Marketing für neue, klimaangepasste Produkte","Landwirtschaft","Image & PR",,,,"z. B. für Weine aus pilzwiderstandsfähigen Rebsorten","online-Umfrage",,,,,,,,,
,"allg. Temperaturanstieg","Reduzierung der Geschäftsreisen zugunsten von online-Meetings","Logistik","Verhalten; Management & Arbeitsorganisation",,,,"zur Einsparung von CO2-Emissionen","online-Umfrage",,,,,,,,,
,"Gewitter & Hagel; Hitze; Sturm; Starkregen","Regelmäßige Stresstests zur Identifikation von Systemschwachstellen","Wasserversorgung","sonstige technische Maßnahmen; Management & Arbeitsorganisation"," ",,,"z. B. in Wasserleitungssystem","Krieger & Wolf 2021",,,,,,,,,
,"Dürre; Starkregen; Hochwasser; Hitze; Sturm; Gewitter & Hagel; allg. Temperaturanstieg; Kälte & Frost","Streuung von Zulieferern, insbes. von klimasensiblen Rohstoffen, zur Abfederung von Lieferengpässen und -ausfällen","Getränkeindustrie; Forst- und Holzwirtschaft; Nahrungsmittelindustrie","Rohstoffe & Beschaffung","Decker Bier; Sägewerk 1","Deutschland","Tieflagen","bei regionalen Lieferketten Ausdehnung auf weiter entfernte Gebiete, die nicht vom regionalen Klimaereignis betroffen sind --> jedoch mehr Emissionen durch längeren Transport, höhere Transportkosten; bei global aufgestellten Lieferketten hingegen Förderung regionaler Zulieferer zur Resilienzerhöhung bei globalen Lieferverzögerungen (wie z. B. 2021, auch teilweise klimabedingt)","Decker: Von den Rohstoffen –da hatten wir schon drüber gesprochen. Wenn so ein Korn zu nass wird oder nicht die richtigen Bedingungen hat, auch da müsste man dich dann nach einem  qualitativ  besseren  Produkt  umsehen.","Säge 1: Also  unser Problem ist hauptsächlich die Hitzewelle und die Trockenheit. […]. Stürme natürlich  ist  ein  Problem.  Aber  wie  soll  man  sich  darauf  vorbereiten? Letztendlich wird  es  so enden, dass der Einkaufsradius steigt […] Ich denke mal, dass es in ein paar Jahren schwierig wird schöne Fichten zukriegen. Vielleicht bei uns in der Gegend, in Freiburg eher noch. Aber ich habe auch Bekannte im Sauerland oder im Harz. Da sieht es natürlich extrem aus. Und das wird auf Dauer, wir das ein Problem geben.","Dörr 2021, S. 41",,,,,,,
,"Dürre","Wasserentnahme aus tieferen Schichten","Getränkeindustrie","Bauliche Maßnahmen","Kleines Bierhaus; Eptinger","Deutschland; Schweiz","Tieflagen; Mittellagen","d.h. unternehmenseigene Brunnen vertiefen --> jedoch weitere Absenkung des Grundwasserspiegels in Trockenperioden","Die  Frage  wäre  halt  wirklich:  Wenn  ich  kein Grundwasser mehr bekommen würde, was könnte ich dann tun? [...] Wenn wirklich jetzt die Quellen –mein eigener Brunnen –versiegen, müssen wir tiefer bohren, um an Wasser zu kommen oder halt versuchen ans öffentliche Netz zu kommen, dass die dafür sorgen, dass ich mein Wasser kriege.","Was  mich  jetzt  noch  interessieren  würde –weil  Sie  meinten,  dass  Sie  diese Oberflächenquelle einstellen mussten –haben Sie dann eine alternative Quelle erschlossen oder können Sie das kompensieren? Buchenhorner: In  Lostdorf  haben  wir  drei  Quellen  und  eine  frei  auslaufend  und  zwei Tiefenbohrungen.  Und  dann  haben  wir  einfach  die  Tiefenbohrung  genommen.",,,,,,,,
,"Dürre","Anschluss an öffentliches Wassernetz ","Getränkeindustrie; Landwirtschaft","Bauliche Maßnahmen ","Kleines Bierhaus","Deutschland","Tieflagen","bei eigener Wasserversorgung über Brunnen, Quellen und Fließgewässer die in Dürren trocken fallen können","Die  Frage  wäre  halt  wirklich:  Wenn  ich  kein Grundwasser mehr bekommen würde, was könnte ich dann tun? [...] Wenn wirklich jetzt die Quellen –mein eigener Brunnen –versiegen, müssen wir tiefer bohren, um an Wasser zu kommen oder halt versuchen ans öffentliche Netz zu kommen, dass die dafür sorgen, dass ich mein Wasser kriege.","Raab 2020, S. 48",,,,,,,,
,"Dürre","Reduzierung des Wasserverbrauchs durch Einsatz effizienterer Techniken","Getränkeindustrie; Wasserversorgung; Landwirtschaft; Forst- und Holzwirtschaft; Verarbeitendes Gewerbe; Nahrungsmittelindustrie","Wasser","Lieler; SWMS; Gaggenau","Deutschland; Frankreich","Tieflagen","z. B.  in der Bewässerung (Tröpfchenbewässerung) oder Reinigung, Urinale ohne Wasser, Optimierung von Waschprogrammen","Lieler: Also da, Anpassungsbedarf ist immer, weil man immer noch sparsamer arbeiten kann, man ausprobieren  kann:„Ok brauche ich wirklich so viel Wasser für die Reinigung der Flaschen oder    für    die    Reinigung    der    Maschine.“","SWMS: es gibt ja schon die genialsten Bewässerungssysteme –dass man Starkregenereignisse nutzt, das Wasser sammelt vor Ort in größeren Behältnissen und dann über Tröpfchenbewässerung das ganze wieder abgibt und wenn man das dann alles mit einer Solaranlage kombiniert.","online-Umfrage",,,,,,,
,"Dürre","Ausbau der Wiederverwertung und Aufbereitung von Brauchwasser","Getränkeindustrie; Wasserversorgung; Verarbeitendes Gewerbe; Nahrungsmittelindustrie","Wasser","Decker Bier","Deutschland","Tieflagen","z. B. durch größere Wassertanks zur Zwischenspeicherung oder Aufbereitung und mehrmalige Verwendung von Brauchwasser; auch zur Bewässerung in der Landwirtschaft","Decker:  Wie auch dass man das Wasser wirklich wiederverwendet, was schon einmal aufgeheizt wurde. Und da gibt es tatsächlich –das kenne ich auch aus der Brauerei Rogg –Tanks, die wirklich mehrere Tage das Wasser noch  bei  fast  siedender  Temperatur  halten.  Also  da  gibt  es  extrem  energieeffiziente  Dinge schon.  Und  die  kosten  dann  natürlich  gleich  eine  halbe  Million,  aber  über  die  Jahrzehnte gerechnet ist das dann wieder eine Investition, die sich rentiert.  ","Gag: Là on consomme beaucoup d’eau. On pompe l’eau dans la nappe, on la traite par l’osmoseur elle est injectée par osmose. C’est une installation qui date de 1999 aussi. A l’époque on a même été nommé au trophée de l’eau de l’agence Rhin-Meuse. C’est une installation qui récupère toute l’eau qu’elle consomme. Elle est filtrée, elle passe par un évaporateur et elle est réinjectée. Donc au niveau consommation d’eau, on en a, c’est clair, mais c’est pas si énorme que ça. Ce qu’on retraite ici, c’est les bouts de graisse qu’on vient récupérer et qu’on envoie en retraitement (2m3 par mois retraités). Après deux ans de fonctionnement, on fait une vidange complète. L’eau doit être montée en température, entre 50 et 60°C. Une des idées qu’on a en ce moment avec Sextan, c’est d’essayer de récupérer la chaleur du four et de l’injecter dans le chauffage de cette eau. ","online-Umfrage",,,,,,,
,"Dürre","Erschließung alternativer Wasserquellen für Dürresituationen","Getränkeindustrie; Energiewirtschaft; Landwirtschaft; Forst- und Holzwirtschaft","Bauliche Maßnahmen","Lieler; IWB","Deutschland; Schweiz","Tieflagen","um Abhängigkeit von einzelnen Quellen zu reduzieren, die trocken fallen können; somit Vermeidung von Wasserengpässen","Lieler: Man  sucht  eigentlich  eher  immer  nach weiteren Quellen –als Ersatzquelle –dass man die Quellen möglichst schonend fahren kann.","IWB: Langfristig müssen wir sicherlich mit Szenarien rechnen, in denen es Notfallszenarien für die Trinkwasserversorgung gibt. Wir haben einen zusätzlichen Kanal aus einem Nebenfluss von    Basel    erschlossen    in    den    letzten    Jahren,    um    die    Abhängigkeit    von    der Rheinwasserentnahme  zu  reduzieren.  Da  geht  es  tatsächlich  aber  eher  um  Themen  der Rheinwasserverschmutzung  durch  Eintrag  von  Chemikalien  und  nicht  um  den  deutlichen Rückgang des Zuflusses","Raab 2020, S. 48","online-Umfrage",,,,,,
,"Dürre","Anpassung der Produktionsmenge an jahreszeitliche Schwankungen der Wasserverfügbarkeit","Getränkeindustrie","Management & Arbeitsorganisation","Lieler","Deutschland","Tieflagen",,"Lieler: Weil es natürlich wichtig ist, wie entwickelt sich das Wetter, muss man da noch mehr planen vorher, wann kann ich viel abfüllen. Weil ich kann dann bspw. nur... momentan wird im Winter weniger abgefüllt, im Sommer mehr. Vielleicht muss ich das dann auf das Jahr ausgleichen, dass ich weniger abfülle.",,,,,,,,,
,"Dürre","Vernetzung: Zusammenschluss von mehreren Kommunen zu Zweckverbänden ","Wasserversorgung","Management & Arbeitsorganisation","SWMS","Deutschland","Tieflagen; mittlere Lagen; Hochlagen","zur finanziellen Entlastung einzelner Versorger, mehr Versorgungssicherheit im Dürrefall; schon lange implementiert, kann aber evtl. noch ausgebaut werden","SWMS: Das weiß ich gar nicht wann das verlegt wurde, das ist schon einige Zeit her, aber es gibt eben diese Zweckverbände, weil die Kommunen allein das kaum noch stemmen können und  das  ist  auch  wahnsinnig  kostenintensiv.  Wenn  man  sich  die  Schwarzwald  Kommunen anschaut, wo die kleinsten Ortschaften versorgt werden müssen, da ist die Wasserversorgung einfach unglaublich  teuer  und da muss  man  gucken,  dass  man das miteinander macht  und nicht  jeder einzeln.  Und das  gleiche hat man  auch in  Mühlheim und  Staufen  gemacht.Also Mühlheim macht das mit Badenweiler zusammen und hat dann noch eine Verbindung nach Auggen und nochmal weiter. Staufen macht das mit Münstertal zusammen, tlw. ist da dann noch  Bad  Krozingen  mit  angeschlossen.  Also  da  gibt  es  viele  Querverbindungen,  woman dann  entsprechend  das  Wasser  sich  von  den  Partnern  holt  und  dann  entsprechend verrechnen muss [...] Genau,  das  ist  eine  Anpassungsmaßnahme,  aber  man  merkt  auch  jetzt  schon,  dass das  tlw.  nicht  mehr  reicht. [...] Was  wir  machen  ist,  dass  wir  im 
Markgräfler Land wahnsinnig stark vernetzt sind und man sich gegenseitig hilft, d.h. wir haben auch Verträge mit noch kleineren Kommunen, dass wir dann jederzeit aushelfen, wenn mal Not  am  Mann  ist  und  wir  unser  Wissen  dann  da  einbringen,  weil  nicht  jede  Kommune  sich dieses Wissen aufbauen kann. ",,,,,,,,,
,"Dürre; Hitze","Ausbau der Kooperation mit und zwischen großen Wasserverbrauchern, Abstimmung der Bedarfe, Sensibilisierung","Wasserversorgung","Management & Arbeitsorganisation; Wasser","SWMS","Deutschland","Tieflagen","z. B. mit lokalen Schwimmbädern oder Landwirten; Wasserversorger sollten dafür ggfs. Personal einstellen oder Arbeitszeit vorsehen","Krieger & Wolf 2021","SWMS: Und da merkt man schon, dass in diesen Spitzenzeiten ganz klar die Wasserabnahme steigt, und  da  muss  man  entsprechend  gegensteuern.  In  Staufen  mussten  wir  da  einmal  im Schwimmbad anrufen und sagen „Hört mal ganz kurz auf das Wasser zu ziehen, sonst bricht das System zusammen“. Also da ist schon gut, dass man dann entsprechend vernetzt ist und nach der Erfahrung müssen wir jetzt gegensteuern.",,,,,,,,
,"Dürre","regelmäßige Wartung von Brunnen, Wasserleitungen, Pumpen, etc.","Getränkeindustrie; Wasserversorgung","sonstige technische Maßnahmen; Management & Arbeitsorganisation","Kleines Bierhaus; SWMS","Deutschland","Tieflagen","zur Minimierung von Wasserverlusten, die bei Dürre kritisch werden können; z. B. durch dichtes Netz von Wasserzählern im Leitungssystem, regelmäßige Reinigung der Rohrleitungen, etc.","Bierhaus: Krieger:Und was bedeutet, dass Sie die Quellen ‚hegen und pflegen‘? Herr:Zumindest, dass die Technik läuft, dass die Rohre in Ordnung sind, dass die Wasserpumpe in Ordnung ist und dass man regelmäßig das Wasser überprüft, ob es Veränderungen gibt. Ob man vielleicht doch nochmal tiefer bohren muss in 5 Jahren, 10 Jahren. Das kann schon passieren. ","SWMS: Ich habe gerade diese Zähler angesprochen, die wir überall haben, einfach um zu kontrollieren, dass wir keine Wasserverluste haben und da keine großen Wasserverluste sind und dass wir sofort handeln können. D.h. überall im Netz sind so kleine Zähler drin und die sinddann per Funk oder per SimCard mit dem Leitsystem verbunden und wir wissen dann sofort wie viel Wasser soll fließen, wie viel fließt durch. Einfach dass wir die Wasserverluste da wirklich gut im Griff haben und auch das ist was wo wir einfach jederzeit also permanent kontrollieren müssen und uns noch weiter voran entwickeln müssen, dass wir das gut steuern können",,,,,,,,
,"Dürre","Festlegung und Einhaltung maximaler Wasserentnahmemengen in Trockenperioden","Getränkeindustrie; Wasserversorgung","Wasser","Lieler","Deutschland","Tieflagen","zur Reduzierung der Wasserknappheit in Dürren; ist behördlich geregelt","Lieler: Man ist angehalten zu schauen, [...]dass man ressourcenschonend arbeitet, dass man weniger   zieht   alsdass...dass   weniger   nachfließt.   Und   das   ist   durch   bestimmte Entnahmemengen geregelt. Man hat dann Tagesmengen wo man maximal entnehmen darf, sowie Jahresmenge und man muss sich auch an die halten von den Behörden dann.",,,,,,,,,
